chunk,err,loci,rate
5,146,14978,0.00974762985712378
4,150,14782,0.0101474766608037
1,34,15030,0.00226214238190286
4,138,14528,0.0094988986784141
1,16,15404,0.00103869124902623
26,328,13778,0.0238060676440703
6,126,14694,0.00857492854226215
24,386,13372,0.0288662877654801
1,34,15170,0.0022412656558998
3,52,14922,0.00348478756198901
1,40,15278,0.00261814373609111
18,252,14468,0.0174177495161736
9,304,14670,0.0207225630538514
1,32,15670,0.00204211869814933
2,58,15050,0.00385382059800664
3,76,15034,0.00505520819475855
15,176,14498,0.0121396054628225
3,48,15298,0.00313766505425546
1,50,14746,0.0033907500339075
1,72,15342,0.0046929996089167
7,152,14314,0.0106189744306274
1,78,15056,0.00518065887353879
1,40,15074,0.00265357569324665
13,178,14200,0.0125352112676056
1,54,14850,0.00363636363636364
3,76,15168,0.00501054852320675
42,880,13638,0.0645255902625018
3,72,15122,0.00476127496362915
1,30,15328,0.00195720250521921
21,266,14244,0.0186745296265094
14,280,13910,0.0201294033069734
33,352,13924,0.025280091927607
1,50,15012,0.0033306687982947
1,70,15066,0.00464622328421612
2,70,15004,0.0046654225539856
3,74,14738,0.00502103406160944
7,122,14674,0.00831402480577893
70,682,12024,0.0567198935462409
13,170,14330,0.0118632240055827
1,48,15286,0.00314012822190239
16,284,14732,0.0192777626934564
10,142,14782,0.00960627790556082
18,310,14206,0.0218217654512178
32,348,13904,0.0250287686996548
1,84,14990,0.00560373582388259
2,58,14918,0.0038879206327926
1,56,15326,0.00365392144068903
2,34,15234,0.00223184980963634
7,98,14600,0.00671232876712329
1,48,15106,0.00317754534622005
2,62,14730,0.00420909708078751
4,390,14632,0.0266539092400219
2,76,15140,0.00501981505944518
4,130,14570,0.00892244337680165
2,56,14974,0.00373981568051289
2,22,15218,0.00144565645945591
6,100,14942,0.00669254450542096
3,78,14866,0.00524687205704292
17,248,14206,0.0174574123609742
13,212,14278,0.014848017929682
6,426,14264,0.0298653954010095
3,66,14794,0.00446126808165472
3,86,14664,0.00586470267321331
2,68,15148,0.00448904145761817
19,218,13718,0.0158915293774603
25,460,13498,0.0340791228330123
3,130,14678,0.00885679247853931
3,66,14918,0.00442418554766054
1,52,15104,0.00344279661016949
19,196,14404,0.013607331296862
30,442,13328,0.0331632653061225
15,214,14696,0.0145617855198694
18,270,14386,0.0187682469067149
1,38,15296,0.00248430962343096
3,60,15072,0.00398089171974522
1,44,14992,0.00293489861259338
26,318,13722,0.0231744643637954
45,536,12228,0.0438338240104678
2,60,15184,0.00395152792413066
2,70,14980,0.00467289719626168
12,230,14528,0.0158314977973568
1,64,15216,0.00420609884332282
1,50,15270,0.00327439423706614
14,166,14380,0.0115438108484006
3,82,14982,0.00547323454812442
1,42,15058,0.00278921503519724
7,82,14702,0.00557747245272752
1,88,15248,0.00577124868835257
1,46,15124,0.00304152340650622
3,82,15102,0.00542974440471461
13,170,14494,0.0117289913067476
6,120,14314,0.00838340086628476
7,320,14742,0.021706688373355
26,292,13962,0.0209139091820656
1,48,15088,0.0031813361611877
1,40,15238,0.00262501640635254
21,318,13872,0.022923875432526
3,70,14684,0.00476709343503133
3,40,15124,0.00264480296217932
1,44,15110,0.0029119788219722
