chunk,err,loci,file,er
1,58,14000,5097504_out.txt,0.00414285714285714
1,36,15228,5097505_out.txt,0.00236406619385343
1,30,14826,5097506_out.txt,0.00202347227842979
1,50,14740,5097508_out.txt,0.0033921302578019
1,22,15260,5097509_out.txt,0.00144167758846658
1,44,14296,5097510_out.txt,0.00307778399552322
1,32,15228,5097511_out.txt,0.00210139217231416
1,30,15240,5097512_out.txt,0.00196850393700787
1,34,15050,5097513_out.txt,0.00225913621262458
1,32,15280,5097514_out.txt,0.00209424083769634
1,22,15000,5097515_out.txt,0.00146666666666667
1,32,15230,5097516_out.txt,0.00210111621799081
1,60,14574,5097517_out.txt,0.00411692054343351
1,66,14056,5097518_out.txt,0.00469550369948776
1,50,14596,5097519_out.txt,0.00342559605371335
1,54,14846,5097520_out.txt,0.0036373433921595
1,18,15424,5097521_out.txt,0.00116701244813278
1,34,13826,5097522_out.txt,0.00245913496311298
1,20,15370,5097523_out.txt,0.00130123617436565
1,24,14676,5097524_out.txt,0.00163532297628782
1,4,15316,5097525_out.txt,0.000261164794985636
1,58,13790,5097526_out.txt,0.00420594633792603
1,8,15202,5097527_out.txt,0.000526246546507039
1,88,12756,5097528_out.txt,0.00689871433051113
1,58,14746,5097529_out.txt,0.0039332700393327
1,22,15102,5097530_out.txt,0.00145676069394782
1,30,15140,5097531_out.txt,0.00198150594451783
1,56,14812,5097532_out.txt,0.00378071833648393
1,36,14852,5097533_out.txt,0.00242391597091301
1,32,15264,5097534_out.txt,0.00209643605870021
1,30,15164,5097535_out.txt,0.00197836982326563
1,30,15286,5097536_out.txt,0.001962580138689
1,62,14426,5097537_out.txt,0.00429779564674893
1,18,14902,5097538_out.txt,0.00120789155818011
1,26,14662,5097539_out.txt,0.00177329150184149
1,74,14162,5097540_out.txt,0.00522525067080921
1,32,14836,5097541_out.txt,0.00215691561067673
1,48,14822,5097542_out.txt,0.00323842936175955
1,14,14868,5097543_out.txt,0.000941619585687382
1,38,15340,5097544_out.txt,0.00247718383311604
1,32,15078,5097545_out.txt,0.00212229738692134
1,44,15194,5097546_out.txt,0.00289587995261287
1,30,15024,5097547_out.txt,0.00199680511182109
1,34,15004,5097548_out.txt,0.00226606238336444
1,44,14454,5097549_out.txt,0.0030441400304414
1,34,15288,5097550_out.txt,0.0022239665096808
1,20,14962,5097551_out.txt,0.00133671968988103
1,22,14704,5097552_out.txt,0.0014961915125136
1,50,14764,5097553_out.txt,0.00338661609319967
1,38,15232,5097554_out.txt,0.00249474789915966
1,88,13750,5097555_out.txt,0.0064
1,52,14992,5097556_out.txt,0.00346851654215582
1,22,15380,5097557_out.txt,0.00143042912873862
1,10,15164,5097558_out.txt,0.00065945660775521
1,46,13984,5097559_out.txt,0.00328947368421053
1,32,15238,5097560_out.txt,0.00210001312508203
1,26,15296,5097561_out.txt,0.00169979079497908
1,48,14652,5097562_out.txt,0.00327600327600328
1,50,13412,5097563_out.txt,0.00372800477184611
1,38,15000,5097564_out.txt,0.00253333333333333
1,26,15158,5097565_out.txt,0.00171526586620926
1,18,15208,5097566_out.txt,0.00118358758548133
1,34,15244,5097567_out.txt,0.00223038572553136
1,34,14516,5097568_out.txt,0.00234224304216037
1,56,13274,5097569_out.txt,0.00421877354226307
1,48,14684,5097570_out.txt,0.00326886406973577
1,32,14846,5097571_out.txt,0.00215546275090934
1,52,14542,5097572_out.txt,0.00357584926420025
1,24,15560,5097573_out.txt,0.00154241645244216
1,38,14786,5097574_out.txt,0.00256999864736913
1,14,15134,5097575_out.txt,0.000925069380203515
1,52,13628,5097576_out.txt,0.0038156736131494
1,64,15126,5097577_out.txt,0.00423112521486183
1,28,15452,5097578_out.txt,0.00181206316334455
1,8,15304,5097579_out.txt,0.000522739153162572
1,8,15166,5097580_out.txt,0.000527495714097323
2,56,12404,5097581_out.txt,0.00451467268623025
1,28,14594,5097582_out.txt,0.00191859668356859
1,46,14462,5097583_out.txt,0.00318074955054626
1,44,15046,5097584_out.txt,0.00292436527980859
1,28,15074,5097585_out.txt,0.00185750298527265
1,36,14980,5097586_out.txt,0.00240320427236315
1,26,15250,5097587_out.txt,0.00170491803278689
1,52,14470,5097588_out.txt,0.00359364201796821
1,44,15138,5097589_out.txt,0.00290659268067116
1,20,15332,5097590_out.txt,0.00130446125750065
1,60,13810,5097591_out.txt,0.00434467776973208
1,50,14914,5097592_out.txt,0.00335255464664074
1,42,13466,5097593_out.txt,0.00311896628545968
1,30,15142,5097594_out.txt,0.00198124422137102
1,22,15062,5097595_out.txt,0.00146062939848626
1,36,14852,5097596_out.txt,0.00242391597091301
1,46,14732,5097597_out.txt,0.00312245452077111
1,64,12838,5097598_out.txt,0.00498520018694501
1,42,14698,5097599_out.txt,0.00285753163695741
1,8,15038,5097600_out.txt,0.000531985636387818
1,50,12704,5097601_out.txt,0.00393576826196474
2,36,14068,5097602_out.txt,0.00255899914700028
1,44,14520,5097603_out.txt,0.00303030303030303
